Identifier	Character	Dialogue	Filename	Line Number
choice1_done_b030896e		ВНИМАНИЕ ПЛАНЕТА АFR12 БЫЛА АТАКОВАНА, ВЫЖИВШИМ ЛЮБЫМИ СПОСОБАМИ ПОКИНУТЬ ПЛАНЕТУ 	game/script.rpy	523
choice1_done_d98f153f	a	Покинуть? 	game/script.rpy	524
choice1_done_b9a113bd	"Голос из приёмника"	Эй, парень! Это капитан Зац. Слышишь?	game/script.rpy	526
choice1_done_19e6b506	a	Здравствуйте, то есть прием! 	game/script.rpy	527
choice1_done_d4641e27	"Голос из приёмника"	ВЗРОСЛЫЕ ЕСТЬ?	game/script.rpy	528
choice1_done_e4f9e751	a	Я не знаю...Я и есть взрослый! 	game/script.rpy	529
choice1_done_cc3283b3	"Голос из приёмника"	МАЛЬЧИК, КАК ТЕБЯ ЗОВУТ?	game/script.rpy	530
choice1_done_ff3d450d	a	Артур, из группы подготов...	game/script.rpy	531
choice1_done_6c01b5d8	"Голос из приёмника"	ВАЛИ С ПЛАНЕТЫ, АРТУР, БЕГОМ. ЭТО БЫЛА КИНЕТИЧЕСКАЯ БОМБА.	game/script.rpy	532
choice1_done_a2e2b959	"Голос из приёмника"	ЕСТЬ СВЕДЕНИЯ, ЧТО АТАКА ПОВТОРИТСЯ. НАЙДИ ЛЮБУЮ ПОСУДИНУ И УЛЕТАЙ. 	game/script.rpy	533
choice1_done_6560229f	"Голос из приёмника"	НИКОГО НЕ ИЩИ, НЕ УСПЕЕШЬ.	game/script.rpy	534
choice1_done_66c31e67		ТЫ УМЕЕШЬ УПРАВЛЯТЬ КОСМОЛЕТОМ?	game/script.rpy	535
choice1_done_9b19dca6	a	Видимо...{w}да...	game/script.rpy	536
choice1_done_820c931e	"Голос из приёмника"	ВОТ И УЛЕТАЙ. ЭТО ПРИКАЗ, ПИЛОТ АРТУР.	game/script.rpy	537
choice1_done_0b30b047		Капитан Зац отключился	game/script.rpy	538
choice1_done_194a99d0		Из приемника: НЕМЕДЛЕННО ПОКИНЬТЕ ПЛАНЕТУ, ВОЗДУШНЫЕ ВОРОТА БУДУТ СКОРО ЗАКРЫТЫ В ЦЕЛЯХ БЕЗОПАСНОСТИ.	game/script.rpy	539
choice1_done_42b01be1		Артур бросил приёмник и побежал быстрее.	game/script.rpy	541
choice1_done_b66e1366	a	Мари! Группа B...Группа С...	game/script.rpy	542
choice1_done_0555c588	a	Группа B...! Мари! Отряд! 	game/script.rpy	543
choice1_done_bbf3d7d7	a	Давайте улетим на почтовых кораблях! 	game/script.rpy	544
choice1_done_90bc6cf7	a	Всё будет хорошо !	game/script.rpy	545
choice1_done_4fea8115	a	Я знаю что делать!	game/script.rpy	546
choice1_done_3a3104d2		Непроглядный черный туман полностью скрывал то, что впереди.	game/script.rpy	547
choice1_done_ed96e5fe		Ответом Артуру была тишина.	game/script.rpy	548
choice1_done_9d8aa46b		Балки порушенного здания, как вековые сосны, немо наблюдали за крошечным Артуром, который бегал между ними кругами. 	game/script.rpy	549
choice1_done_6f072f30		Артур бегал и звал. Иногда он поскальзывался, но вставал и бежал вперед не замечая дороги. 	game/script.rpy	550
choice1_done_45741591	a	Пожалуйста, ответьте. Группа B! Люди!	game/script.rpy	551
choice1_done_01818497	a	Нам надо срочно покинуть планету! 	game/script.rpy	552
choice1_done_023c3130		Артур бегал по разрушенному корпусу и кричал. Один раз даже позвал маму, но ему никто не ответил.	game/script.rpy	553
choice1_done_e430ddc7		Бессильно прислонившись к тому, что когда-то было незыблимой, бетонной конструкцией Артур остановился.	game/script.rpy	554
choice1_done_a08eb56e		Вдалеке мелькал маяк - единственный источник света....	game/script.rpy	555
choice1_done_8c1700de		Артур побежал к нему. 	game/script.rpy	556
choice1_done_4ea3075e		Маяк мелькнул и погас.	game/script.rpy	557
choice1_done_e281d506		Слева Артур заметил небольшой уцелевший ангар. 	game/script.rpy	558
choice1_done_e4e9dc2b		Там стоял небольшой серый кораблик, его чуть присыпало обломками, но он был соверешенно цел! 	game/script.rpy	560
choice1_done_965f0887		Артур неловко открыл дверь и запрыгнул внутрь. 	game/script.rpy	562
choice1_done_4194cc33		Если взорвали кинетическую, она повторит авто - взрыв через час, чтобы добить оставшийся, как выражаются военные, {i}антропоэлемент.{/i} 	game/script.rpy	563
choice1_done_585d38da		Добрые. Травка останется. А люди - нет.	game/script.rpy	564
choice1_done_271173ba		Нужно валить скорее. Я получил приказ. 	game/script.rpy	565
choice1_done_8697cfce		 Артур снял маску и включил апарат. Приготовился взлететь.	game/script.rpy	566
choice1_done_48bb12a1		На мониторе высветилось 	game/script.rpy	567
choice1_done_151be659		{i} ПОДГОТОВКА К ВЗЛЕТУ.{i}	game/script.rpy	568
choice1_done_5cbd05ba	a	Я должен найти Мари. И ребят. Найти помощь. Я не знаю что делать. Но наверное, хоть что-то я могу. 	game/script.rpy	570
choice1_done_ad53d9e2		Артур тяжело дышал, поменял кислородную маску и неловко выбрался из кабины.	game/script.rpy	573
choice1_done_e4493715	a	Глупая...зазнайка... 	game/script.rpy	574
choice1_done_8d1680fd		Артур вздохнул, отыскал поисковой маячок для экипажа, спустился из кабины и побежал к восьмому корпусу	game/script.rpy	575
choice1_done_6ff3383b		Если мне очень повезет 	game/script.rpy	577
choice1_done_4c5a42dc		То кто-то, во время взрыва, оказался в столовой или в корпусе второго общежития 	game/script.rpy	578
choice1_done_1edc3334		 а значит кто-то еще{w} живой	game/script.rpy	579
choice1_done_82b4b6b5		Главное успеть. 	game/script.rpy	581
choice1_done_d6e2ca05		Пожалуйста, мне очень нужно успеть...У меня есть дело. 	game/script.rpy	582
choice1_done_8775b81b		Артур повернул в сторону столовой.	game/script.rpy	583
